Ergebnisse pro Datei:
- 082b5cf2a117432e9b647169078778bee9cd4988ba1498934a25d5b05135d86f__job-output_cropped.csv: 6 None-Werte, 1 keine-None-Werte
- 082c1786c2cf407ab9d6043c3425347249bf8715e29224e6abdc27a1abb1865f__job-output_cropped.csv: 14 None-Werte, 8 keine-None-Werte
- 082c9ed8eea8f0f91ef0443e4e9466f911613adf6acc041ee0dbd02ab0956f8e__job-output_cropped.csv: 2 None-Werte, 2 keine-None-Werte
- 082e6857a313d7f9ed3940db2fe477b946d8877136b99162d62da548adc52b7c__job-output_cropped.csv: 2 None-Werte, 2 keine-None-Werte
- 083a433c925034ce3069ed6e1eb488a18d14f4470e6a071ba9ac26630573a40a__job-output_cropped.csv: 3 None-Werte, 6 keine-None-Werte
- 083a5e7779223d361aba8d1e8e84b59193a1106b31a3b1511d70dc73c71344a8__job-output_cropped.csv: 2 None-Werte, 13 keine-None-Werte
- 083cdfe86f6131ebc64ca7c7b8c42c394715a8b2dda69ba0adfaffaed507c661__job-output_cropped.csv: 2 None-Werte, 1 keine-None-Werte
- 083ce4da3ff4e24cd71608bb29eae0f0d6b8b97ad0b0e4b1c5f300fb00982373__job-output_cropped.csv: 4 None-Werte, 12 keine-None-Werte
- 083d7abb1777a95856ce7e3441b64e02158c4243fb3ad62956e109deb97f5c1e__job-output_cropped.csv: 2 None-Werte, 2 keine-None-Werte
- 083e66734af0f2276f4775229df85db9eb4b266f75bc202e5d233ee1f48497ca__job-output_cropped.csv: 2 None-Werte, 6 keine-None-Werte
- 083f6d69ed5d11cc7c7b44fd7d83b0d1e47caa17d8b72f8d457bc4c4c54c77a1__job-output_cropped.csv: 2 None-Werte, 2 keine-None-Werte
- 083f9c0eebb9c7f7897f896668f041fc40eff9010273aa755e8033520f16db03__job-output_cropped.csv: 2 None-Werte, 2 keine-None-Werte
- 084ad3b26a71d69ed87af8da6935f1ee503a9ec385ee7b91b145f488bcff4687__job-output_cropped.csv: 4 None-Werte, 5 keine-None-Werte
- 084add769138e018f1eada86b15083cbd57594d392a4379dfd7e4ba28d585679__job-output_cropped.csv: 3 None-Werte, 6 keine-None-Werte
- 084b1d025c3e29b297e657e134b1cbf51f650b3d22e4ca53a6b570da75599602__job-output_cropped.csv: 4 None-Werte, 0 keine-None-Werte
- 084c0bfb2bca706bcefa7f494b154132fc10689ffc79291cd7698903c2a80d45__job-output_cropped.csv: 1 None-Werte, 1 keine-None-Werte
